,Subscription Code,Flow Rate (l/s),Number of Negative Flows,Percentage of Negative Flows,Operating Hours (h),Consumption (m³),Number of Available Data Points,تعداد مورد انتظار,درصد اطلاعات موجود,month,License Type,Installation Date,County
107,603179,,0,0.0,0.0,0.0,12,31,38.71,1401/01,کشاورزی,1401/05/13,تربت حیدریه
108,515809,4.0,0,0.0,740.9,10686.1,31,31,100.0,1401/01,,,
109,514131,2.88,0,0.0,158.1,63.691,31,31,100.0,1401/01,شرب و بهداشت دام,1400/01/21,مشهد
110,911132,3.59,0,0.0,150.6,382.316,31,31,100.0,1401/01,صنعتی,1400/10/29,مشهد
111,107146,,0,0.0,0.0,0.0,5,31,16.13,1401/01,کشاورزی,1401/02/17,سبزوار
112,209278,,0,0.0,0.0,0.0,31,31,100.0,1401/01,کشاورزی,1402/04/26,درگز
113,805771,,0,0.0,0.0,0.0,31,31,100.0,1401/01,صنعتی,1399/07/23,نیشابور
114,517884,,0,0.0,0.0,0.0,31,31,100.0,1401/01,خدمات,1401/05/20,مشهد
115,514922,,0,0.0,0.0,0.0,31,31,100.0,1401/01,خدمات,1401/05/25,مشهد
116,514708,,0,0.0,0.0,0.0,5,31,16.13,1401/01,خدمات,1401/05/20,مشهد
117,519845,2.36,0,0.0,726.5,121.437,31,31,100.0,1401/01,شرب و بهداشت دام,1399/08/06,مشهد
118,520017,,0,0.0,0.0,0.0,31,31,100.0,1401/01,صنعتی,1399/07/21,مشهد
119,518949,1.4,0,0.0,0.0,12.922,23,31,74.19,1401/01,صنعتی,1398/12/05,مشهد
120,603207,,0,0.0,0.0,0.0,31,31,100.0,1401/01,کشاورزی,1400/01/19,تربت حیدریه
121,514191,0.2,0,0.0,720.6,519.1,31,31,100.0,1401/01,کشاورزی,1399/07/12,مشهد
122,603601,,0,0.0,0.0,0.0,31,31,100.0,1401/01,صنعتی,1400/05/10,تربت حیدریه
123,805876,1.31,0,0.0,260.6,28.877,31,31,100.0,1401/01,شرب و بهداشت دام,1400/07/21,نیشابور
124,518678,,0,0.0,27.9,137.49,31,31,100.0,1401/01,صنعتی,1399/11/12,مشهد
125,601415,2.01,0,0.0,658.5,353.145,31,31,100.0,1401/01,شرب و بهداشت دام,1400/11/24,تربت حیدریه
126,529049,28.32,0,0.0,247.3,20355.6,9,31,29.03,1401/01,کشاورزی,1400/10/21,مشهد
127,603205,13.82,0,0.0,196.6,1360.715,31,31,100.0,1401/01,کشاورزی,1401/01/24,تربت حیدریه
128,603426,,0,0.0,0.0,0.0,31,31,100.0,1401/01,کشاورزی,1401/02/11,تربت حیدریه
129,514799,,0,0.0,0.0,0.0,15,31,48.39,1401/01,کشاورزی,1401/06/01,مشهد
130,515984,,0,0.0,0.0,0.0,15,31,48.39,1401/01,,,
131,518663,,0,0.0,0.0,0.0,31,31,100.0,1401/01,شرب و بهداشت دام,1400/06/20,مشهد
132,804310,4.37,0,0.0,25.0,69.099,31,31,100.0,1401/01,,,
133,529278,,0,0.0,0.0,0.0,29,31,93.55,1401/01,کشاورزی,1399/01/31,مشهد
134,806498,6.71,0,0.0,690.3,16838.439,31,31,100.0,1401/01,,,
135,516582,,0,0.0,0.0,0.0,31,31,100.0,1401/01,کشاورزی,1399/07/10,مشهد
136,604652,,0,0.0,0.0,0.0,31,31,100.0,1401/01,کشاورزی,1400/03/11,تربت حیدریه
137,516214,3.12,0,0.0,85.7,297.022,31,31,100.0,1401/01,,,
138,601122,0.44,0,0.0,36.7,7.7,31,31,100.0,1401/01,صنعتی,1400/02/08,تربت حیدریه
139,122092,,0,0.0,0.0,0.0,31,31,100.0,1401/01,صنعتی,1400/03/05,نیشابور
140,911408,0.57,0,0.0,478.7,13.578,31,31,100.0,1401/01,صنعتی,1399/08/18,تربت جام
141,516151,0.5,0,0.0,14.7,0.614,31,31,100.0,1401/01,سایر,1400/07/18,مشهد
142,514698,,0,0.0,0.0,0.0,12,31,38.71,1401/01,صنعتی,1401/04/25,مشهد
143,805873,,0,0.0,0.0,0.0,31,31,100.0,1401/01,شرب و بهداشت دام,1399/02/17,نیشابور
144,541193,2.6,0,0.0,393.6,507.197,31,31,100.0,1401/01,,,
145,527807,,0,0.0,0.0,0.39,31,31,100.0,1401/01,شرب و بهداشت دام,1399/06/25,مشهد
146,514499,15.62,0,0.0,568.6,15612.044,31,31,100.0,1401/01,کشاورزی,1399/11/08,مشهد
147,804851,,0,0.0,0.0,0.0,31,31,100.0,1401/01,صنعتی,1399/11/16,نیشابور
148,517500,,0,0.0,0.0,0.0,31,31,100.0,1401/01,صنعتی,1400/09/13,مشهد
149,521208,1.46,0,0.0,607.8,138.107,31,31,100.0,1401/01,کشاورزی,1400/09/29,کلات
150,516476,,0,0.0,0.8,6.475,31,31,100.0,1401/01,شرب و بهداشت دام,1399/07/23,مشهد
151,519754,4.79,0,0.0,501.5,8487.597,31,31,100.0,1401/01,کشاورزی,1401/01/10,مشهد
